instancia,estructura,m,purchase_total,query_total,lend_total,receive_total,dispose_total,query_successful,query_failed,lend_successful,lend_failed,receive_successful,receive_failed,final_size,final_height,elapsed_seconds
0,BST,131072,45775,39538,19610,13019,13130,1674,37864,716,18894,5,13014,43232,36,0.031149315
0,RedBlackBST,131072,45775,39538,19610,13019,13130,1674,37864,607,19003,9,13010,43232,21,0.030179827
1,BST,131072,45766,39294,19731,13170,13111,1619,37675,730,19001,4,13166,43224,36,0.032792083
1,RedBlackBST,131072,45766,39294,19731,13170,13111,1619,37675,611,19120,9,13161,43224,20,0.030522799
2,BST,131072,45544,39524,19818,13081,13105,1661,37863,769,19049,2,13079,43121,39,0.031666804
2,RedBlackBST,131072,45544,39524,19818,13081,13105,1661,37863,677,19141,8,13073,43121,21,0.029575995
3,BST,131072,45801,39342,19569,13063,13297,1677,37665,735,18834,2,13061,43299,32,0.030942
3,RedBlackBST,131072,45801,39342,19569,13063,13297,1677,37665,617,18952,6,13057,43299,20,0.030313598
4,BST,131072,45798,39414,19601,13195,13064,1659,37755,727,18874,4,13191,43342,34,0.031479458
4,RedBlackBST,131072,45798,39414,19601,13195,13064,1659,37755,609,18992,8,13187,43342,21,0.029712594
5,BST,131072,45728,39490,19631,12975,13248,1623,37867,745,18886,4,12971,43236,36,0.030709735
5,RedBlackBST,131072,45728,39490,19631,12975,13248,1623,37867,618,19013,10,12965,43236,21,0.030058625
6,BST,131072,45919,39443,19500,13034,13176,1606,37837,823,18677,1,13033,43503,36,0.030711539
6,RedBlackBST,131072,45919,39443,19500,13034,13176,1606,37837,687,18813,4,13030,43503,21,0.029625954
7,BST,131072,45721,39467,19608,13021,13255,1628,37839,757,18851,5,13016,43284,40,0.03332003
7,RedBlackBST,131072,45721,39467,19608,13021,13255,1628,37839,648,18960,8,13013,43284,21,0.030929263
8,BST,131072,45817,38953,19733,13284,13285,1706,37247,773,18960,5,13279,43354,36,0.030506547
8,RedBlackBST,131072,45817,38953,19733,13284,13285,1706,37247,664,19069,13,13271,43354,20,0.028955006
9,BST,131072,45835,39392,19685,13118,13042,1700,37692,812,18873,3,13115,43387,36,0.031242574
9,RedBlackBST,131072,45835,39392,19685,13118,13042,1700,37692,678,19007,6,13112,43387,20,0.031745477
10,BST,131072,46022,39114,19478,13206,13252,1579,37535,708,18770,4,13202,43510,36,0.046884794
10,RedBlackBST,131072,46022,39114,19478,13206,13252,1579,37535,613,18865,9,13197,43510,20,0.030953842
11,BST,131072,45834,39215,19861,13216,12946,1563,37652,728,19133,2,13214,43339,37,0.030414452
11,RedBlackBST,131072,45834,39215,19861,13216,12946,1563,37652,624,19237,6,13210,43339,20,0.030492804
12,BST,131072,46132,38975,19834,13134,12997,1676,37299,801,19033,7,13127,43670,33,0.030236674
12,RedBlackBST,131072,46132,38975,19834,13134,12997,1676,37299,657,19177,10,13124,43670,20,0.028875701
13,BST,131072,45863,39493,19573,13081,13062,1694,37799,720,18853,3,13078,43348,39,0.032512149
13,RedBlackBST,131072,45863,39493,19573,13081,13062,1694,37799,618,18955,11,13070,43348,21,0.029824738
14,BST,131072,45707,39275,19521,13421,13148,1644,37631,777,18744,5,13416,43287,35,0.033888479
14,RedBlackBST,131072,45707,39275,19521,13421,13148,1644,37631,655,18866,11,13410,43287,21,0.030477323
15,BST,131072,46139,39263,19654,12915,13101,1612,37651,775,18879,3,12912,43562,35,0.031301066
15,RedBlackBST,131072,46139,39263,19654,12915,13101,1612,37651,653,19001,8,12907,43562,20,0.032978651
16,BST,131072,45901,39445,19536,13103,13087,1577,37868,780,18756,2,13101,43374,37,0.030268355
16,RedBlackBST,131072,45901,39445,19536,13103,13087,1577,37868,652,18884,8,13095,43374,20,0.036107902
17,BST,131072,46103,39309,19802,12947,12911,1629,37680,787,19015,6,12941,43573,38,0.027869933
17,RedBlackBST,131072,46103,39309,19802,12947,12911,1629,37680,646,19156,13,12934,43573,20,0.030546336
18,BST,131072,45945,39551,19460,13086,13030,1742,37809,718,18742,2,13084,43450,35,0.031287866
18,RedBlackBST,131072,45945,39551,19460,13086,13030,1742,37809,606,18854,6,13080,43450,21,0.033335823
19,BST,131072,45920,39508,19667,13057,12920,1668,37840,758,18909,3,13054,43366,34,0.032357273
19,RedBlackBST,131072,45920,39508,19667,13057,12920,1668,37840,626,19041,5,13052,43366,20,0.032626811
20,BST,131072,45898,39404,19682,13041,13047,1719,37685,726,18956,5,13036,43373,38,0.034724692
20,RedBlackBST,131072,45898,39404,19682,13041,13047,1719,37685,606,19076,9,13032,43373,20,0.035477565
21,BST,131072,45811,39299,19765,12969,13228,1664,37635,743,19022,1,12968,43320,37,0.033411401
21,RedBlackBST,131072,45811,39299,19765,12969,13228,1664,37635,598,19167,4,12965,43320,21,0.03082986
22,BST,131072,45943,39208,19846,13059,13016,1652,37556,768,19078,3,13056,43444,39,0.032031272
22,RedBlackBST,131072,45943,39208,19846,13059,13016,1652,37556,644,19202,7,13052,43444,20,0.034203881
23,BST,131072,46052,39238,19593,13095,13094,1691,37547,787,18806,7,13088,43564,37,0.031796418
23,RedBlackBST,131072,46052,39238,19593,13095,13094,1691,37547,645,18948,8,13087,43564,21,0.03062327
24,BST,131072,45987,39139,19754,13033,13159,1667,37472,767,18987,5,13028,43465,39,0.032887294
24,RedBlackBST,131072,45987,39139,19754,13033,13159,1667,37472,638,19116,10,13023,43465,21,0.036014669
25,BST,131072,45541,39658,19792,13020,13061,1634,38024,738,19054,3,13017,43035,33,0.031171745
25,RedBlackBST,131072,45541,39658,19792,13020,13061,1634,38024,616,19176,5,13015,43035,21,0.030635639
26,BST,131072,45925,39192,19684,13201,13070,1666,37526,754,18930,3,13198,43372,38,0.03144355
26,RedBlackBST,131072,45925,39192,19684,13201,13070,1666,37526,636,19048,8,13193,43372,21,0.031557681
27,BST,131072,45960,39340,19597,13098,13077,1608,37732,792,18805,4,13094,43469,35,0.032271911
27,RedBlackBST,131072,45960,39340,19597,13098,13077,1608,37732,653,18944,12,13086,43469,21,0.033654735
28,BST,131072,45742,39225,19707,13413,12985,1609,37616,756,18951,6,13407,43284,37,0.0344369
28,RedBlackBST,131072,45742,39225,19707,13413,12985,1609,37616,634,19073,15,13398,43284,20,0.03223347
29,BST,131072,46116,39498,19521,12984,12953,1667,37831,728,18793,0,12984,43602,33,0.031274434
29,RedBlackBST,131072,46116,39498,19521,12984,12953,1667,37831,616,18905,6,12978,43602,21,0.030416655
