instance,artist,t_linear,t_binary
0,Artist_0,0.015625,0.40625
0,Artist_20,0.03125,0.40625
0,Artist_40,0.03125,0.40625
0,Artist_61,0.046875,0.375
0,Artist_80,0.046875,0.390625
1,Artist_0,0.015625,0.390625
1,Artist_20,0.046875,0.390625
1,Artist_40,0.046875,0.40625
1,Artist_61,0.046875,0.40625
1,Artist_80,0.046875,0.390625
2,Artist_0,0.015625,0.40625
2,Artist_20,0.03125,0.390625
2,Artist_40,0.03125,0.40625
2,Artist_61,0.046875,0.390625
2,Artist_80,0.046875,0.40625
3,Artist_0,0.015625,0.390625
3,Artist_20,0.046875,0.390625
3,Artist_40,0.046875,0.390625
3,Artist_61,0.046875,0.40625
3,Artist_80,0.03125,0.421875
4,Artist_0,0.015625,0.40625
4,Artist_20,0.03125,0.390625
4,Artist_40,0.046875,0.40625
4,Artist_61,0.03125,0.421875
4,Artist_80,0.046875,0.390625
5,Artist_0,0.015625,0.40625
5,Artist_20,0.046875,0.375
5,Artist_40,0.046875,0.390625
5,Artist_61,0.046875,0.375
5,Artist_80,0.046875,0.453125
6,Artist_0,0.015625,0.390625
6,Artist_20,0.046875,0.421875
6,Artist_40,0.03125,0.4375
6,Artist_61,0.03125,0.453125
6,Artist_80,0.046875,0.484375
7,Artist_0,0.015625,0.390625
7,Artist_20,0.046875,0.46875
7,Artist_40,0.03125,0.421875
7,Artist_61,0.046875,0.421875
7,Artist_80,0.046875,0.421875
8,Artist_0,0.015625,0.4375
8,Artist_20,0.015625,0.421875
8,Artist_40,0.046875,0.421875
8,Artist_61,0.046875,0.421875
8,Artist_80,0.046875,0.421875
9,Artist_0,0.015625,0.421875
9,Artist_20,0.046875,0.375
9,Artist_40,0.046875,0.375
9,Artist_61,0.078125,0.421875
9,Artist_80,0.046875,0.453125
10,Artist_0,0.015625,0.390625
10,Artist_20,0.0625,0.421875
10,Artist_40,0.046875,0.40625
10,Artist_61,0.046875,0.421875
10,Artist_80,0.03125,0.390625
11,Artist_0,0.015625,0.40625
11,Artist_20,0.046875,0.390625
11,Artist_40,0.046875,0.375
11,Artist_61,0.046875,0.421875
11,Artist_80,0.046875,0.4375
12,Artist_0,0.015625,0.40625
12,Artist_20,0.03125,0.40625
12,Artist_40,0.046875,0.40625
12,Artist_61,0.046875,0.4375
12,Artist_80,0.046875,0.40625
13,Artist_0,0.015625,0.40625
13,Artist_20,0.046875,0.4375
13,Artist_40,0.046875,0.421875
13,Artist_61,0.046875,0.359375
13,Artist_80,0.046875,0.40625
14,Artist_0,0.015625,0.375
14,Artist_20,0.046875,0.390625
14,Artist_40,0.046875,0.4375
14,Artist_61,0.03125,0.40625
14,Artist_80,0.046875,0.421875
15,Artist_0,0.015625,0.40625
15,Artist_20,0.046875,0.4375
15,Artist_40,0.046875,0.453125
15,Artist_61,0.046875,0.40625
15,Artist_80,0.046875,0.421875
16,Artist_0,0.0,0.390625
16,Artist_20,0.03125,0.40625
16,Artist_40,0.03125,0.40625
16,Artist_61,0.03125,0.40625
16,Artist_80,0.03125,0.40625
17,Artist_0,0.015625,0.40625
17,Artist_20,0.046875,0.421875
17,Artist_40,0.046875,0.421875
17,Artist_61,0.03125,0.40625
17,Artist_80,0.046875,0.375
18,Artist_0,0.015625,0.40625
18,Artist_20,0.046875,0.390625
18,Artist_40,0.046875,0.40625
18,Artist_61,0.046875,0.40625
18,Artist_80,0.046875,0.40625
19,Artist_0,0.015625,0.390625
19,Artist_20,0.046875,0.40625
19,Artist_40,0.03125,0.40625
19,Artist_61,0.046875,0.453125
19,Artist_80,0.03125,0.421875
20,Artist_0,0.015625,0.40625
20,Artist_20,0.046875,0.390625
20,Artist_40,0.046875,0.390625
20,Artist_61,0.046875,0.421875
20,Artist_80,0.03125,0.421875
21,Artist_0,0.015625,0.4375
21,Artist_20,0.03125,0.390625
21,Artist_40,0.046875,0.390625
21,Artist_61,0.03125,0.421875
21,Artist_80,0.03125,0.375
22,Artist_0,0.015625,0.390625
22,Artist_20,0.03125,0.40625
22,Artist_40,0.046875,0.390625
22,Artist_61,0.046875,0.40625
22,Artist_80,0.03125,0.421875
23,Artist_0,0.015625,0.40625
23,Artist_20,0.03125,0.40625
23,Artist_40,0.046875,0.4375
23,Artist_61,0.046875,0.40625
23,Artist_80,0.03125,0.390625
24,Artist_0,0.015625,0.40625
24,Artist_20,0.03125,0.40625
24,Artist_40,0.03125,0.40625
24,Artist_61,0.046875,0.40625
24,Artist_80,0.046875,0.40625
25,Artist_0,0.015625,0.40625
25,Artist_20,0.03125,0.40625
25,Artist_40,0.046875,0.390625
25,Artist_61,0.046875,0.40625
25,Artist_80,0.03125,0.390625
26,Artist_0,0.03125,0.375
26,Artist_20,0.046875,0.421875
26,Artist_40,0.03125,0.40625
26,Artist_61,0.03125,0.40625
26,Artist_80,0.03125,0.421875
27,Artist_0,0.015625,0.40625
27,Artist_20,0.03125,0.390625
27,Artist_40,0.046875,0.40625
27,Artist_61,0.03125,0.40625
27,Artist_80,0.046875,0.40625
28,Artist_0,0.015625,0.390625
28,Artist_20,0.03125,0.40625
28,Artist_40,0.046875,0.390625
28,Artist_61,0.046875,0.390625
28,Artist_80,0.046875,0.40625
29,Artist_0,0.015625,0.390625
29,Artist_20,0.046875,0.40625
29,Artist_40,0.046875,0.40625
29,Artist_61,0.03125,0.421875
29,Artist_80,0.03125,0.40625
30,Artist_0,0.015625,0.390625
30,Artist_20,0.046875,0.40625
30,Artist_40,0.03125,0.390625
30,Artist_61,0.046875,0.359375
30,Artist_80,0.046875,0.40625
31,Artist_0,0.015625,0.4375
31,Artist_20,0.046875,0.484375
31,Artist_40,0.046875,0.40625
31,Artist_61,0.0625,0.484375
31,Artist_80,0.03125,0.46875
32,Artist_0,0.015625,0.46875
32,Artist_20,0.0625,0.453125
32,Artist_40,0.03125,0.40625
32,Artist_61,0.03125,0.4375
32,Artist_80,0.03125,0.4375
33,Artist_0,0.015625,0.40625
33,Artist_20,0.046875,0.421875
33,Artist_40,0.046875,0.421875
33,Artist_61,0.046875,0.421875
33,Artist_80,0.046875,0.40625
34,Artist_0,0.015625,0.375
34,Artist_20,0.046875,0.390625
34,Artist_40,0.046875,0.390625
34,Artist_61,0.046875,0.40625
34,Artist_80,0.046875,0.40625
35,Artist_0,0.015625,0.421875
35,Artist_20,0.046875,0.375
35,Artist_40,0.03125,0.40625
35,Artist_61,0.046875,0.421875
35,Artist_80,0.03125,0.421875
36,Artist_0,0.015625,0.421875
36,Artist_20,0.0625,0.421875
36,Artist_40,0.046875,0.421875
36,Artist_61,0.046875,0.4375
36,Artist_80,0.0625,0.4375
37,Artist_0,0.015625,0.453125
37,Artist_20,0.046875,0.421875
37,Artist_40,0.046875,0.4375
37,Artist_61,0.0625,0.421875
37,Artist_80,0.046875,0.4375
38,Artist_0,0.015625,0.421875
38,Artist_20,0.046875,0.4375
38,Artist_40,0.046875,0.390625
38,Artist_61,0.046875,0.453125
38,Artist_80,0.046875,0.453125
39,Artist_0,0.015625,0.40625
