instance,artist,t_linear,t_binary
0,Artist_0,0.0625,7.15625
0,Artist_81,0.140625,7.203125
0,Artist_163,0.25,7.09375
0,Artist_245,0.265625,7.078125
0,Artist_326,0.21875,7.25
1,Artist_0,0.078125,7.1875
1,Artist_81,0.140625,7.484375
1,Artist_163,0.265625,7.234375
1,Artist_245,0.265625,7.25
1,Artist_326,0.234375,7.453125
2,Artist_0,0.078125,7.28125
2,Artist_81,0.140625,7.546875
2,Artist_163,0.296875,7.234375
2,Artist_245,0.28125,7.21875
2,Artist_326,0.234375,7.25
3,Artist_0,0.078125,7.265625
3,Artist_81,0.15625,7.265625
3,Artist_163,0.296875,7.3125
3,Artist_245,0.265625,7.359375
3,Artist_326,0.25,7.453125
4,Artist_0,0.078125,7.53125
4,Artist_81,0.140625,7.5
4,Artist_163,0.28125,7.390625
4,Artist_245,0.28125,7.3125
4,Artist_326,0.234375,7.3125
5,Artist_0,0.078125,7.25
5,Artist_81,0.140625,7.234375
5,Artist_163,0.265625,7.28125
5,Artist_245,0.265625,7.21875
5,Artist_326,0.25,7.21875
6,Artist_0,0.0625,7.0
6,Artist_81,0.15625,7.0
6,Artist_163,0.28125,7.0
6,Artist_245,0.265625,7.21875
6,Artist_326,0.234375,7.171875
7,Artist_0,0.0625,7.046875
7,Artist_81,0.140625,7.140625
7,Artist_163,0.265625,7.203125
7,Artist_245,0.25,7.15625
7,Artist_326,0.234375,7.21875
8,Artist_0,0.0625,7.03125
8,Artist_81,0.125,7.1875
8,Artist_163,0.265625,7.140625
8,Artist_245,0.265625,7.078125
8,Artist_326,0.234375,7.0625
9,Artist_0,0.0625,7.109375
9,Artist_81,0.140625,7.171875
9,Artist_163,0.25,7.125
9,Artist_245,0.265625,7.140625
9,Artist_326,0.21875,7.4375
10,Artist_0,0.078125,7.875
10,Artist_81,0.15625,7.421875
10,Artist_163,0.28125,7.203125
10,Artist_245,0.265625,7.1875
10,Artist_326,0.234375,7.1875
11,Artist_0,0.0625,7.078125
11,Artist_81,0.15625,7.078125
11,Artist_163,0.265625,7.03125
11,Artist_245,0.28125,7.0625
11,Artist_326,0.234375,7.09375
12,Artist_0,0.0625,7.109375
12,Artist_81,0.140625,7.046875
12,Artist_163,0.28125,7.09375
12,Artist_245,0.265625,7.125
12,Artist_326,0.21875,7.0625
13,Artist_0,0.078125,7.171875
13,Artist_81,0.125,7.171875
13,Artist_163,0.234375,7.171875
13,Artist_245,0.25,7.203125
13,Artist_326,0.21875,7.140625
14,Artist_0,0.078125,6.984375
14,Artist_81,0.140625,7.109375
14,Artist_163,0.265625,7.0625
14,Artist_245,0.265625,7.171875
14,Artist_326,0.21875,7.078125
15,Artist_0,0.0625,7.078125
15,Artist_81,0.140625,7.09375
15,Artist_163,0.265625,7.078125
15,Artist_245,0.265625,7.15625
15,Artist_326,0.21875,7.0625
16,Artist_0,0.0625,7.140625
16,Artist_81,0.125,7.09375
16,Artist_163,0.25,7.171875
16,Artist_245,0.265625,7.15625
16,Artist_326,0.234375,7.1875
17,Artist_0,0.0625,7.09375
17,Artist_81,0.140625,7.21875
17,Artist_163,0.265625,7.21875
17,Artist_245,0.265625,7.1875
17,Artist_326,0.234375,7.203125
18,Artist_0,0.0625,7.078125
18,Artist_81,0.140625,7.046875
18,Artist_163,0.265625,7.09375
18,Artist_245,0.25,7.0625
18,Artist_326,0.21875,7.0625
19,Artist_0,0.078125,7.0625
19,Artist_81,0.15625,7.125
19,Artist_163,0.28125,7.265625
19,Artist_245,0.28125,7.15625
19,Artist_326,0.234375,7.234375
20,Artist_0,0.0625,7.0
20,Artist_81,0.140625,7.0625
20,Artist_163,0.28125,7.109375
20,Artist_245,0.265625,7.125
