instance,artist,t_linear,t_binary
0,Artist_0,0.140625,28.453125
0,Artist_163,0.453125,28.59375
0,Artist_327,0.421875,30.125
0,Artist_491,0.453125,28.609375
0,Artist_654,0.453125,29.203125
1,Artist_0,0.125,28.59375
1,Artist_163,0.40625,29.265625
1,Artist_327,0.5,28.734375
1,Artist_491,0.484375,28.4375
1,Artist_654,0.484375,29.375
2,Artist_0,0.109375,29.21875
2,Artist_163,0.5,28.40625
2,Artist_327,0.484375,29.03125
2,Artist_491,0.40625,29.140625
2,Artist_654,0.421875,29.375
3,Artist_0,0.125,28.65625
3,Artist_163,0.484375,28.515625
3,Artist_327,0.46875,29.1875
3,Artist_491,0.421875,29.078125
3,Artist_654,0.453125,28.515625
4,Artist_0,0.140625,29.171875
4,Artist_163,0.484375,29.359375
4,Artist_327,0.453125,29.34375
4,Artist_491,0.5,28.640625
4,Artist_654,0.484375,28.578125
5,Artist_0,0.140625,28.890625
5,Artist_163,0.453125,29.25
5,Artist_327,0.5,29.4375
5,Artist_491,0.453125,29.5625
5,Artist_654,0.515625,30.125
6,Artist_0,0.109375,29.09375
6,Artist_163,0.5,29.0625
6,Artist_327,0.515625,28.96875
6,Artist_491,0.40625,29.15625
6,Artist_654,0.46875,29.265625
7,Artist_0,0.125,28.859375
7,Artist_163,0.46875,29.53125
7,Artist_327,0.421875,29.40625
7,Artist_491,0.453125,28.5
7,Artist_654,0.40625,29.0625
8,Artist_0,0.109375,29.46875
8,Artist_163,0.46875,28.609375
8,Artist_327,0.421875,28.421875
8,Artist_491,0.421875,29.53125
8,Artist_654,0.4375,28.46875
9,Artist_0,0.140625,28.515625
9,Artist_163,0.5,29.515625
9,Artist_327,0.453125,29.203125
9,Artist_491,0.484375,28.859375
9,Artist_654,0.421875,28.625
10,Artist_0,0.109375,29.046875
10,Artist_163,0.453125,28.328125
10,Artist_327,0.40625,28.59375
10,Artist_491,0.484375,28.40625
10,Artist_654,0.515625,28.578125
11,Artist_0,0.140625,29.03125
11,Artist_163,0.515625,29.328125
11,Artist_327,0.421875,29.140625
11,Artist_491,0.5,28.890625
11,Artist_654,0.421875,28.390625
12,Artist_0,0.109375,28.625
12,Artist_163,0.515625,28.484375
12,Artist_327,0.515625,28.625
12,Artist_491,0.515625,29.328125
12,Artist_654,0.421875,28.375
13,Artist_0,0.109375,29.53125
13,Artist_163,0.453125,28.515625
13,Artist_327,0.453125,29.390625
13,Artist_491,0.4375,28.78125
13,Artist_654,0.46875,29.46875
14,Artist_0,0.125,28.84375
14,Artist_163,0.515625,28.5
14,Artist_327,0.40625,29.03125
14,Artist_491,0.484375,28.390625
14,Artist_654,0.4375,28.390625
15,Artist_0,0.109375,28.390625
15,Artist_163,0.453125,28.8125
15,Artist_327,0.453125,30.125
15,Artist_491,0.5,29.140625
15,Artist_654,0.484375,29.484375
16,Artist_0,0.140625,28.703125
16,Artist_163,0.4375,29.15625
16,Artist_327,0.484375,29.46875
16,Artist_491,0.40625,28.890625
16,Artist_654,0.421875,28.40625
17,Artist_0,0.125,28.484375
17,Artist_163,0.421875,29.40625
17,Artist_327,0.4375,28.859375
17,Artist_491,0.46875,29.078125
17,Artist_654,0.40625,29.140625
18,Artist_0,0.140625,28.4375
18,Artist_163,0.46875,28.453125
18,Artist_327,0.4375,28.65625
18,Artist_491,0.484375,28.5625
18,Artist_654,0.46875,28.9375
19,Artist_0,0.109375,28.421875
19,Artist_163,0.46875,28.375
19,Artist_327,0.4375,29.109375
19,Artist_491,0.515625,29.0
19,Artist_654,0.40625,28.453125
20,Artist_0,0.140625,29.4375
20,Artist_163,0.484375,29.046875
20,Artist_327,0.4375,28.359375
20,Artist_491,0.40625,29.4375
20,Artist_654,0.453125,29.140625
21,Artist_0,0.140625,29.421875
21,Artist_163,0.4375,29.46875
21,Artist_327,0.4375,29.53125
21,Artist_491,0.5,28.34375
21,Artist_654,0.484375,29.296875
22,Artist_0,0.140625,29.390625
22,Artist_163,0.46875,28.515625
22,Artist_327,0.5,29.40625
22,Artist_491,0.453125,28.5625
22,Artist_654,0.484375,28.6875
23,Artist_0,0.109375,28.59375
23,Artist_163,0.5,28.71875
23,Artist_327,0.46875,28.75
23,Artist_491,0.484375,29.484375
23,Artist_654,0.46875,28.53125
24,Artist_0,0.125,28.359375
24,Artist_163,0.484375,29.21875
24,Artist_327,0.421875,28.796875
24,Artist_491,0.46875,28.375
24,Artist_654,0.453125,28.765625
25,Artist_0,0.140625,29.46875
25,Artist_163,0.421875,29.21875
25,Artist_327,0.46875,29.140625
25,Artist_491,0.46875,29.0
25,Artist_654,0.5,29.15625
26,Artist_0,0.140625,29.03125
26,Artist_163,0.40625,28.6875
26,Artist_327,0.484375,28.890625
26,Artist_491,0.453125,28.953125
26,Artist_654,0.4375,29.140625
27,Artist_0,0.140625,29.109375
27,Artist_163,0.453125,29.15625
27,Artist_327,0.453125,30.46875
27,Artist_491,0.421875,28.875
27,Artist_654,0.453125,29.203125
28,Artist_0,0.125,28.625
28,Artist_163,0.40625,29.421875
28,Artist_327,0.421875,29.28125
28,Artist_491,0.515625,28.375
28,Artist_654,0.421875,28.890625
29,Artist_0,0.140625,28.96875
29,Artist_163,0.484375,29.5
29,Artist_327,0.5,29.34375
29,Artist_491,0.4375,29.234375
29,Artist_654,0.46875,29.25
30,Artist_0,0.125,29.265625
30,Artist_163,0.453125,28.65625
30,Artist_327,0.46875,28.609375
30,Artist_491,0.421875,28.484375
30,Artist_654,0.4375,29.203125
31,Artist_0,0.125,28.71875
31,Artist_163,0.40625,28.578125
31,Artist_327,0.40625,29.390625
31,Artist_491,0.5,28.90625
31,Artist_654,0.46875,29.25
32,Artist_0,0.125,28.984375
32,Artist_163,0.453125,28.921875
32,Artist_327,0.515625,28.34375
32,Artist_491,0.5,29.21875
32,Artist_654,0.4375,29.53125
33,Artist_0,0.125,29.046875
33,Artist_163,0.421875,29.109375
33,Artist_327,0.515625,28.546875
33,Artist_491,0.484375,28.578125
33,Artist_654,0.5,28.65625
34,Artist_0,0.125,28.625
34,Artist_163,0.40625,29.25
34,Artist_327,0.484375,28.59375
34,Artist_491,0.40625,29.25
34,Artist_654,0.453125,29.359375
35,Artist_0,0.109375,28.46875
35,Artist_163,0.453125,28.890625
35,Artist_327,0.484375,28.515625
35,Artist_491,0.421875,29.28125
35,Artist_654,0.46875,30.359375
36,Artist_0,0.140625,29.15625
36,Artist_163,0.5,29.484375
36,Artist_327,0.453125,28.4375
36,Artist_491,0.421875,29.3125
36,Artist_654,0.40625,28.75
37,Artist_0,0.125,28.40625
37,Artist_163,0.40625,29.375
37,Artist_327,0.421875,28.859375
37,Artist_491,0.515625,29.203125
37,Artist_654,0.46875,29.078125
38,Artist_0,0.125,28.890625
38,Artist_163,0.46875,28.71875
38,Artist_327,0.421875,28.65625
38,Artist_491,0.515625,29.03125
38,Artist_654,0.484375,28.34375
39,Artist_0,0.109375,28.921875
39,Artist_163,0.46875,28.734375
39,Artist_327,0.46875,29.0
39,Artist_491,0.453125,28.421875
39,Artist_654,0.515625,29.0
40,Artist_0,0.125,29.125
40,Artist_163,0.40625,28.421875
40,Artist_327,0.453125,28.6875
40,Artist_491,0.515625,29.0
40,Artist_654,0.484375,28.75
41,Artist_0,0.125,28.625
41,Artist_163,0.453125,28.703125
41,Artist_327,0.4375,28.546875
41,Artist_491,0.46875,29.21875
41,Artist_654,0.46875,29.53125
42,Artist_0,0.125,28.59375
42,Artist_163,0.40625,29.203125
42,Artist_327,0.40625,29.53125
42,Artist_491,0.4375,29.109375
42,Artist_654,0.421875,29.40625
43,Artist_0,0.125,28.90625
43,Artist_163,0.40625,28.625
43,Artist_327,0.421875,29.34375
43,Artist_491,0.421875,29.03125
43,Artist_654,0.4375,28.5
44,Artist_0,0.125,28.421875
44,Artist_163,0.5,29.078125
44,Artist_327,0.453125,29.28125
44,Artist_491,0.515625,28.6875
44,Artist_654,0.5,28.6875
45,Artist_0,0.140625,29.515625
45,Artist_163,0.453125,29.09375
45,Artist_327,0.421875,28.515625
45,Artist_491,0.421875,28.515625
45,Artist_654,0.515625,28.671875
46,Artist_0,0.140625,28.671875
46,Artist_163,0.421875,29.171875
46,Artist_327,0.453125,28.84375
46,Artist_491,0.4375,29.453125
46,Artist_654,0.421875,28.390625
47,Artist_0,0.140625,29.25
47,Artist_163,0.46875,28.859375
47,Artist_327,0.46875,29.1875
47,Artist_491,0.515625,28.859375
47,Artist_654,0.5,29.234375
48,Artist_0,0.109375,28.421875
48,Artist_163,0.40625,29.5625
48,Artist_327,0.46875,29.03125
48,Artist_491,0.4375,28.90625
48,Artist_654,0.46875,28.546875
49,Artist_0,0.140625,29.328125
49,Artist_163,0.515625,28.75
49,Artist_327,0.421875,29.390625
49,Artist_491,0.515625,28.671875
49,Artist_654,0.40625,28.875
50,Artist_0,0.125,28.453125
50,Artist_163,0.40625,29.140625
50,Artist_327,0.5,28.375
50,Artist_491,0.515625,29.09375
50,Artist_654,0.453125,28.640625
51,Artist_0,0.125,28.859375
51,Artist_163,0.421875,28.34375
51,Artist_327,0.453125,29.203125
51,Artist_491,0.40625,29.0
51,Artist_654,0.421875,28.890625
52,Artist_0,0.109375,28.9375
52,Artist_163,0.46875,28.828125
52,Artist_327,0.515625,28.609375
52,Artist_491,0.5,28.546875
52,Artist_654,0.4375,29.390625
53,Artist_0,0.125,28.734375
53,Artist_163,0.46875,29.34375
53,Artist_327,0.46875,29.359375
53,Artist_491,0.515625,29.390625
53,Artist_654,0.515625,28.75
54,Artist_0,0.140625,28.78125
54,Artist_163,0.453125,29.53125
54,Artist_327,0.5,28.609375
54,Artist_491,0.40625,28.703125
54,Artist_654,0.5,28.796875
55,Artist_0,0.140625,29.53125
55,Artist_163,0.40625,28.46875
55,Artist_327,0.484375,29.40625
55,Artist_491,0.515625,28.4375
55,Artist_654,0.40625,29.21875
56,Artist_0,0.140625,29.53125
56,Artist_163,0.46875,28.734375
56,Artist_327,0.421875,29.375
56,Artist_491,0.5,29.5
56,Artist_654,0.515625,30.125
57,Artist_0,0.109375,29.09375
57,Artist_163,0.453125,29.25
57,Artist_327,0.421875,29.265625
57,Artist_491,0.421875,28.859375
57,Artist_654,0.40625,28.375
58,Artist_0,0.125,28.765625
58,Artist_163,0.453125,28.96875
58,Artist_327,0.4375,28.53125
58,Artist_491,0.5,29.09375
58,Artist_654,0.4375,28.609375
59,Artist_0,0.125,30.46875
59,Artist_163,0.46875,29.15625
59,Artist_327,0.515625,29.5
59,Artist_491,0.46875,29.109375
59,Artist_654,0.46875,28.890625
60,Artist_0,0.125,29.375
60,Artist_163,0.5,29.03125
60,Artist_327,0.46875,28.34375
60,Artist_491,0.5,28.65625
60,Artist_654,0.40625,29.453125
61,Artist_0,0.125,29.28125
61,Artist_163,0.484375,28.59375
61,Artist_327,0.46875,29.15625
61,Artist_491,0.4375,29.09375
61,Artist_654,0.40625,28.703125
62,Artist_0,0.140625,28.765625
62,Artist_163,0.46875,28.71875
62,Artist_327,0.453125,28.484375
62,Artist_491,0.484375,28.96875
62,Artist_654,0.4375,28.640625
63,Artist_0,0.125,29.515625
63,Artist_163,0.484375,29.3125
63,Artist_327,0.421875,28.484375
63,Artist_491,0.5,29.515625
63,Artist_654,0.484375,28.421875
64,Artist_0,0.125,28.984375
64,Artist_163,0.46875,29.046875
64,Artist_327,0.484375,28.453125
64,Artist_491,0.40625,29.09375
64,Artist_654,0.484375,29.453125
65,Artist_0,0.109375,29.109375
65,Artist_163,0.46875,29.125
65,Artist_327,0.40625,29.5
65,Artist_491,0.515625,28.453125
65,Artist_654,0.4375,28.796875
66,Artist_0,0.140625,29.1875
66,Artist_163,0.4375,29.421875
66,Artist_327,0.515625,29.078125
66,Artist_491,0.46875,28.359375
66,Artist_654,0.515625,28.875
67,Artist_0,0.125,28.4375
67,Artist_163,0.484375,28.390625
67,Artist_327,0.421875,29.5
67,Artist_491,0.421875,29.140625
67,Artist_654,0.40625,28.375
68,Artist_0,0.109375,29.296875
68,Artist_163,0.453125,29.046875
68,Artist_327,0.453125,28.71875
68,Artist_491,0.40625,28.65625
68,Artist_654,0.4375,28.984375
69,Artist_0,0.109375,30.125
69,Artist_163,0.484375,29.296875
69,Artist_327,0.484375,28.328125
69,Artist_491,0.4375,29.234375
69,Artist_654,0.421875,28.90625
70,Artist_0,0.140625,29.046875
70,Artist_163,0.453125,30.359375
70,Artist_327,0.515625,30.46875
70,Artist_491,0.5,28.84375
70,Artist_654,0.515625,28.40625
71,Artist_0,0.140625,28.5
71,Artist_163,0.484375,28.78125
71,Artist_327,0.46875,28.875
71,Artist_491,0.421875,29.296875
71,Artist_654,0.453125,28.84375
72,Artist_0,0.125,28.734375
72,Artist_163,0.5,29.21875
72,Artist_327,0.484375,29.140625
72,Artist_491,0.4375,29.171875
72,Artist_654,0.421875,29.359375
73,Artist_0,0.109375,29.25
73,Artist_163,0.4375,29.015625
73,Artist_327,0.484375,29.15625
73,Artist_491,0.5,29.390625
73,Artist_654,0.46875,29.0625
74,Artist_0,0.140625,28.953125
74,Artist_163,0.515625,28.59375
74,Artist_327,0.484375,28.453125
74,Artist_491,0.453125,29.328125
74,Artist_654,0.40625,29.078125
75,Artist_0,0.140625,28.640625
75,Artist_163,0.46875,29.46875
75,Artist_327,0.4375,29.40625
75,Artist_491,0.5,28.40625
75,Artist_654,0.40625,28.421875
76,Artist_0,0.125,28.84375
76,Artist_163,0.484375,28.703125
76,Artist_327,0.421875,29.421875
76,Artist_491,0.40625,29.15625
76,Artist_654,0.5,28.921875
77,Artist_0,0.125,28.578125
77,Artist_163,0.484375,28.84375
77,Artist_327,0.515625,28.96875
77,Artist_491,0.453125,28.8125
77,Artist_654,0.40625,28.5625
78,Artist_0,0.109375,29.265625
78,Artist_163,0.421875,28.328125
78,Artist_327,0.4375,28.46875
78,Artist_491,0.453125,28.9375
78,Artist_654,0.484375,28.40625
79,Artist_0,0.109375,28.859375
79,Artist_163,0.421875,29.390625
79,Artist_327,0.5,29.203125
79,Artist_491,0.421875,28.8125
79,Artist_654,0.4375,29.3125
80,Artist_0,0.140625,29.46875
80,Artist_163,0.421875,28.609375
80,Artist_327,0.421875,28.8125
80,Artist_491,0.484375,28.59375
80,Artist_654,0.421875,28.953125
81,Artist_0,0.140625,28.5625
81,Artist_163,0.484375,29.21875
81,Artist_327,0.4375,28.609375
81,Artist_491,0.453125,28.53125
81,Artist_654,0.421875,28.53125
82,Artist_0,0.125,28.890625
82,Artist_163,0.515625,29.15625
82,Artist_327,0.484375,29.390625
82,Artist_491,0.4375,28.859375
82,Artist_654,0.46875,29.3125
83,Artist_0,0.125,28.953125
83,Artist_163,0.515625,28.359375
83,Artist_327,0.46875,28.40625
83,Artist_491,0.421875,29.078125
83,Artist_654,0.515625,29.03125
84,Artist_0,0.140625,29.4375
84,Artist_163,0.453125,28.71875
84,Artist_327,0.4375,29.515625
84,Artist_491,0.484375,29.546875
84,Artist_654,0.4375,28.359375
85,Artist_0,0.125,28.96875
85,Artist_163,0.484375,28.78125
85,Artist_327,0.5,29.28125
85,Artist_491,0.40625,29.296875
85,Artist_654,0.421875,28.71875
86,Artist_0,0.125,28.671875
86,Artist_163,0.4375,28.734375
86,Artist_327,0.4375,29.453125
86,Artist_491,0.5,28.46875
86,Artist_654,0.421875,28.703125
87,Artist_0,0.125,29.328125
87,Artist_163,0.421875,29.125
87,Artist_327,0.484375,28.328125
87,Artist_491,0.453125,28.734375
87,Artist_654,0.453125,28.59375
88,Artist_0,0.109375,28.6875
88,Artist_163,0.40625,29.140625
88,Artist_327,0.4375,29.0625
88,Artist_491,0.4375,29.359375
88,Artist_654,0.4375,30.359375
89,Artist_0,0.140625,29.21875
89,Artist_163,0.46875,29.25
89,Artist_327,0.453125,28.984375
89,Artist_491,0.515625,29.4375
89,Artist_654,0.515625,28.890625
90,Artist_0,0.125,28.9375
90,Artist_163,0.4375,29.328125
90,Artist_327,0.4375,29.40625
90,Artist_491,0.515625,29.40625
90,Artist_654,0.421875,29.203125
91,Artist_0,0.109375,28.671875
91,Artist_163,0.46875,28.875
91,Artist_327,0.5,28.421875
91,Artist_491,0.515625,29.421875
91,Artist_654,0.5,28.375
92,Artist_0,0.109375,28.796875
92,Artist_163,0.453125,28.34375
92,Artist_327,0.484375,29.296875
92,Artist_491,0.46875,29.453125
92,Artist_654,0.4375,29.265625
93,Artist_0,0.140625,28.3125
93,Artist_163,0.46875,28.578125
93,Artist_327,0.5,28.453125
93,Artist_491,0.46875,28.46875
93,Artist_654,0.515625,28.390625
94,Artist_0,0.125,30.296875
94,Artist_163,0.4375,30.359375
94,Artist_327,0.453125,29.03125
94,Artist_491,0.421875,28.96875
94,Artist_654,0.40625,28.796875
95,Artist_0,0.140625,28.796875
95,Artist_163,0.40625,28.765625
95,Artist_327,0.453125,29.234375
95,Artist_491,0.484375,28.484375
95,Artist_654,0.484375,29.328125
96,Artist_0,0.140625,28.890625
96,Artist_163,0.4375,29.328125
96,Artist_327,0.515625,28.359375
96,Artist_491,0.453125,29.421875
96,Artist_654,0.46875,28.953125
97,Artist_0,0.140625,30.296875
97,Artist_163,0.46875,28.765625
97,Artist_327,0.484375,28.65625
97,Artist_491,0.5,29.421875
