instancia,insertionSort,selectionSort,mergeSort,quickSort
0,0.546875,0.53125,0.00390625,0.00234375
1,0.515625,0.484375,0.003125,0.00234375
2,0.515625,0.515625,0.003125,0.0015625
3,0.5625,0.5,0.00390625,0.0015625
4,0.671875,0.546875,0.003125,0.0015625
5,0.578125,0.515625,0.00390625,7.8125E-4
6,0.53125,0.515625,0.003125,0.00234375
7,0.5625,0.5,0.003125,0.00234375
8,0.59375,0.515625,0.00390625,0.0015625
9,0.546875,0.5,0.00390625,0.0015625
10,0.53125,0.484375,0.00390625,0.0015625
11,0.546875,0.515625,0.003125,0.00234375
12,0.5625,0.5,0.00390625,0.0015625
13,0.546875,0.515625,0.003125,0.0015625
14,0.5625,0.5,0.003125,0.0015625
15,0.5625,0.515625,0.003125,0.00234375
16,0.515625,0.515625,0.003125,0.0015625
17,0.515625,0.5,0.003125,0.00234375
18,0.53125,0.515625,0.00390625,0.00234375
19,0.515625,0.5,0.003125,0.00234375
20,0.59375,0.515625,0.003125,0.0015625
21,0.515625,0.515625,0.003125,0.0015625
22,0.515625,0.515625,0.00390625,0.0015625
23,0.515625,0.5,0.003125,0.00234375
24,0.546875,0.515625,0.003125,0.00234375
25,0.546875,0.5,0.00390625,0.0015625
26,0.5625,0.484375,0.003125,0.0015625
27,0.59375,0.5,0.003125,0.00234375
28,0.53125,0.484375,0.003125,0.00234375
29,0.515625,0.46875,0.003125,0.00234375
30,0.484375,0.5,0.003125,0.0015625
31,0.546875,0.46875,0.003125,0.00234375
32,0.5625,0.515625,0.00390625,0.0015625
33,0.53125,0.515625,0.00390625,0.0015625
34,0.453125,0.5,0.003125,0.00234375
35,0.515625,0.515625,0.003125,0.0015625
36,0.5625,0.515625,0.003125,0.00234375
37,0.515625,0.5,0.003125,0.0015625
38,0.546875,0.5,0.003125,0.00234375
39,0.546875,0.53125,0.003125,0.0015625
40,0.5625,0.5,0.003125,0.00234375
41,0.5,0.515625,0.003125,0.0015625
42,0.53125,0.515625,0.003125,0.00234375
43,0.546875,0.484375,0.00390625,0.0015625
44,0.546875,0.515625,0.003125,0.0015625
45,0.546875,0.5,0.00390625,0.0015625
46,0.53125,0.5,0.003125,0.0015625
47,0.546875,0.515625,0.003125,0.00234375
48,0.53125,0.5,0.00234375,0.00234375
49,0.59375,0.484375,0.003125,0.00234375
50,0.5625,0.5,0.00234375,0.0015625
51,0.515625,0.484375,0.003125,0.0015625
52,0.515625,0.515625,0.003125,0.00234375
53,0.53125,0.484375,0.00390625,0.0015625
54,0.515625,0.5,0.00390625,0.0015625
55,0.5,0.515625,0.003125,0.0015625
56,0.53125,0.5,0.00390625,0.0015625
57,0.53125,0.484375,0.003125,0.00234375
58,0.484375,0.515625,0.003125,0.00234375
59,0.515625,0.5,0.00390625,0.0015625
60,0.546875,0.484375,0.003125,0.00234375
61,0.546875,0.515625,0.003125,0.0015625
62,0.546875,0.5,0.00390625,0.0015625
63,0.53125,0.5,0.003125,0.00234375
64,0.578125,0.515625,0.003125,0.0015625
65,0.59375,0.5,0.003125,0.00234375
66,0.546875,0.484375,0.00390625,0.0015625
67,0.5,0.5,0.00234375,0.00234375
68,0.53125,0.484375,0.00390625,0.0015625
69,0.5625,0.5,0.003125,0.0015625
70,0.5,0.515625,0.003125,0.0015625
71,0.5,0.515625,0.003125,0.0015625
72,0.53125,0.515625,0.003125,0.0015625
73,0.546875,0.5,0.003125,0.00234375
74,0.546875,0.5,0.003125,0.00234375
75,0.546875,0.46875,0.003125,0.00234375
76,0.5,0.5,0.00390625,0.0015625
77,0.546875,0.515625,0.003125,0.0015625
78,0.53125,0.515625,0.003125,0.0015625
79,0.53125,0.515625,0.003125,0.0015625
80,0.515625,0.5,0.003125,0.0015625
81,0.515625,0.5,0.003125,0.00234375
82,0.5,0.484375,0.003125,0.00234375
83,0.53125,0.515625,0.003125,0.00234375
84,0.546875,0.5,0.003125,0.00234375
85,0.53125,0.484375,0.003125,0.0015625
86,0.5625,0.515625,0.003125,0.00234375
87,0.53125,0.5,0.00390625,0.0015625
88,0.515625,0.5,0.003125,0.0015625
89,0.484375,0.515625,0.003125,0.0015625
90,0.546875,0.5,0.003125,0.0015625
91,0.515625,0.5,0.003125,0.00234375
92,0.515625,0.515625,0.003125,0.00234375
93,0.5625,0.46875,0.003125,0.00234375
94,0.546875,0.5,0.003125,0.0015625
95,0.515625,0.5,0.003125,0.0015625
96,0.609375,0.5,0.003125,0.00234375
97,0.53125,0.515625,0.003125,0.0015625
98,0.546875,0.5,0.003125,0.0015625
99,0.53125,0.515625,0.003125,7.8125E-4
