instance,artist,t_linear,t_binary
0,Artist_0,0.015625,0.109375
0,Artist_10,0.015625,0.09375
0,Artist_20,0.03125,0.109375
0,Artist_30,0.015625,0.09375
0,Artist_39,0.03125,0.09375
1,Artist_0,0.015625,0.109375
1,Artist_10,0.015625,0.109375
1,Artist_20,0.015625,0.109375
1,Artist_30,0.015625,0.109375
1,Artist_39,0.03125,0.09375
2,Artist_0,0.015625,0.109375
2,Artist_10,0.015625,0.109375
2,Artist_20,0.015625,0.125
2,Artist_30,0.015625,0.109375
2,Artist_39,0.015625,0.09375
3,Artist_0,0.0,0.109375
3,Artist_10,0.03125,0.109375
3,Artist_20,0.015625,0.09375
3,Artist_30,0.015625,0.109375
3,Artist_39,0.03125,0.09375
4,Artist_0,0.015625,0.109375
4,Artist_10,0.015625,0.109375
4,Artist_20,0.015625,0.109375
4,Artist_30,0.015625,0.109375
4,Artist_39,0.015625,0.125
5,Artist_0,0.015625,0.109375
5,Artist_10,0.015625,0.109375
5,Artist_20,0.015625,0.109375
5,Artist_30,0.015625,0.109375
5,Artist_39,0.015625,0.09375
6,Artist_0,0.0,0.109375
6,Artist_10,0.03125,0.109375
6,Artist_20,0.03125,0.09375
6,Artist_30,0.015625,0.09375
6,Artist_39,0.03125,0.109375
7,Artist_0,0.015625,0.109375
7,Artist_10,0.015625,0.125
7,Artist_20,0.015625,0.109375
7,Artist_30,0.015625,0.125
7,Artist_39,0.015625,0.109375
8,Artist_0,0.015625,0.125
8,Artist_10,0.015625,0.125
8,Artist_20,0.015625,0.109375
8,Artist_30,0.015625,0.125
8,Artist_39,0.03125,0.109375
9,Artist_0,0.0,0.140625
9,Artist_10,0.03125,0.125
9,Artist_20,0.03125,0.109375
9,Artist_30,0.03125,0.109375
9,Artist_39,0.03125,0.09375
10,Artist_0,0.015625,0.125
10,Artist_10,0.015625,0.109375
10,Artist_20,0.015625,0.109375
10,Artist_30,0.015625,0.09375
10,Artist_39,0.015625,0.125
11,Artist_0,0.015625,0.109375
11,Artist_10,0.015625,0.125
11,Artist_20,0.015625,0.109375
11,Artist_30,0.03125,0.109375
11,Artist_39,0.03125,0.109375
12,Artist_0,0.015625,0.09375
12,Artist_10,0.03125,0.09375
12,Artist_20,0.015625,0.09375
12,Artist_30,0.03125,0.109375
12,Artist_39,0.015625,0.09375
13,Artist_0,0.0,0.125
13,Artist_10,0.015625,0.109375
13,Artist_20,0.015625,0.109375
13,Artist_30,0.015625,0.109375
13,Artist_39,0.015625,0.09375
14,Artist_0,0.015625,0.109375
14,Artist_10,0.015625,0.109375
14,Artist_20,0.015625,0.09375
14,Artist_30,0.015625,0.125
14,Artist_39,0.015625,0.125
15,Artist_0,0.0,0.125
15,Artist_10,0.015625,0.125
15,Artist_20,0.03125,0.125
15,Artist_30,0.015625,0.140625
15,Artist_39,0.03125,0.125
16,Artist_0,0.0,0.125
16,Artist_10,0.015625,0.125
16,Artist_20,0.015625,0.125
16,Artist_30,0.015625,0.125
16,Artist_39,0.015625,0.109375
17,Artist_0,0.015625,0.078125
17,Artist_10,0.03125,0.109375
17,Artist_20,0.015625,0.125
17,Artist_30,0.015625,0.109375
17,Artist_39,0.015625,0.109375
18,Artist_0,0.015625,0.109375
18,Artist_10,0.015625,0.09375
18,Artist_20,0.015625,0.109375
18,Artist_30,0.015625,0.109375
18,Artist_39,0.015625,0.109375
19,Artist_0,0.0,0.109375
19,Artist_10,0.015625,0.109375
19,Artist_20,0.015625,0.09375
19,Artist_30,0.015625,0.140625
19,Artist_39,0.015625,0.125
20,Artist_0,0.015625,0.078125
20,Artist_10,0.03125,0.140625
20,Artist_20,0.015625,0.125
20,Artist_30,0.015625,0.109375
20,Artist_39,0.015625,0.109375
21,Artist_0,0.015625,0.109375
21,Artist_10,0.015625,0.109375
21,Artist_20,0.015625,0.109375
21,Artist_30,0.03125,0.109375
21,Artist_39,0.015625,0.109375
22,Artist_0,0.015625,0.109375
22,Artist_10,0.015625,0.109375
22,Artist_20,0.015625,0.125
22,Artist_30,0.03125,0.109375
22,Artist_39,0.015625,0.140625
23,Artist_0,0.015625,0.09375
23,Artist_10,0.03125,0.09375
23,Artist_20,0.015625,0.109375
23,Artist_30,0.015625,0.09375
23,Artist_39,0.03125,0.09375
24,Artist_0,0.015625,0.09375
24,Artist_10,0.015625,0.09375
24,Artist_20,0.015625,0.109375
24,Artist_30,0.015625,0.09375
24,Artist_39,0.015625,0.109375
25,Artist_0,0.015625,0.09375
25,Artist_10,0.0,0.109375
25,Artist_20,0.015625,0.109375
25,Artist_30,0.03125,0.125
25,Artist_39,0.015625,0.109375
26,Artist_0,0.015625,0.109375
26,Artist_10,0.015625,0.109375
26,Artist_20,0.015625,0.109375
26,Artist_30,0.015625,0.09375
26,Artist_39,0.015625,0.109375
27,Artist_0,0.015625,0.109375
27,Artist_10,0.03125,0.109375
27,Artist_20,0.015625,0.109375
27,Artist_30,0.015625,0.09375
27,Artist_39,0.015625,0.109375
28,Artist_0,0.0,0.109375
28,Artist_10,0.015625,0.09375
28,Artist_20,0.015625,0.109375
28,Artist_30,0.015625,0.109375
28,Artist_39,0.015625,0.109375
29,Artist_0,0.015625,0.09375
29,Artist_10,0.015625,0.09375
29,Artist_20,0.015625,0.109375
29,Artist_30,0.015625,0.09375
29,Artist_39,0.015625,0.09375
30,Artist_0,0.015625,0.09375
30,Artist_10,0.015625,0.109375
30,Artist_20,0.015625,0.109375
30,Artist_30,0.015625,0.109375
30,Artist_39,0.015625,0.109375
31,Artist_0,0.0,0.109375
31,Artist_10,0.03125,0.09375
31,Artist_20,0.015625,0.109375
31,Artist_30,0.015625,0.09375
31,Artist_39,0.015625,0.109375
32,Artist_0,0.0,0.109375
32,Artist_10,0.015625,0.109375
32,Artist_20,0.015625,0.109375
32,Artist_30,0.015625,0.109375
32,Artist_39,0.015625,0.109375
33,Artist_0,0.0,0.109375
33,Artist_10,0.015625,0.109375
33,Artist_20,0.015625,0.109375
33,Artist_30,0.015625,0.109375
33,Artist_39,0.015625,0.09375
34,Artist_0,0.0,0.109375
34,Artist_10,0.015625,0.078125
34,Artist_20,0.03125,0.125
34,Artist_30,0.015625,0.09375
34,Artist_39,0.015625,0.109375
35,Artist_0,0.015625,0.09375
35,Artist_10,0.03125,0.109375
35,Artist_20,0.015625,0.109375
35,Artist_30,0.015625,0.109375
35,Artist_39,0.015625,0.109375
36,Artist_0,0.015625,0.109375
36,Artist_10,0.015625,0.109375
36,Artist_20,0.015625,0.109375
36,Artist_30,0.015625,0.109375
36,Artist_39,0.03125,0.078125
37,Artist_0,0.015625,0.125
37,Artist_10,0.015625,0.109375
37,Artist_20,0.015625,0.109375
37,Artist_30,0.03125,0.109375
37,Artist_39,0.015625,0.125
38,Artist_0,0.0,0.125
38,Artist_10,0.015625,0.109375
38,Artist_20,0.015625,0.109375
38,Artist_30,0.015625,0.109375
38,Artist_39,0.015625,0.109375
39,Artist_0,0.015625,0.125
39,Artist_10,0.015625,0.109375
39,Artist_20,0.03125,0.109375
39,Artist_30,0.015625,0.09375
39,Artist_39,0.015625,0.109375
40,Artist_0,0.015625,0.140625
40,Artist_10,0.03125,0.109375
40,Artist_20,0.03125,0.140625
40,Artist_30,0.015625,0.09375
40,Artist_39,0.015625,0.125
41,Artist_0,0.015625,0.109375
41,Artist_10,0.03125,0.109375
41,Artist_20,0.015625,0.109375
41,Artist_30,0.015625,0.109375
41,Artist_39,0.03125,0.125
42,Artist_0,0.015625,0.09375
42,Artist_10,0.015625,0.125
42,Artist_20,0.015625,0.109375
42,Artist_30,0.015625,0.109375
42,Artist_39,0.03125,0.109375
43,Artist_0,0.0,0.109375
