instance,artist,t_linear,t_binary
0,Artist_0,0.03125,1.578125
0,Artist_40,0.09375,1.625
0,Artist_81,0.09375,1.6875
0,Artist_122,0.078125,1.6875
0,Artist_162,0.0625,1.6875
1,Artist_0,0.03125,1.640625
1,Artist_40,0.09375,1.703125
1,Artist_81,0.09375,1.6875
1,Artist_122,0.078125,1.703125
1,Artist_162,0.0625,1.71875
2,Artist_0,0.046875,1.640625
2,Artist_40,0.09375,1.6875
2,Artist_81,0.109375,1.71875
2,Artist_122,0.078125,1.703125
2,Artist_162,0.078125,1.71875
3,Artist_0,0.015625,1.625
3,Artist_40,0.09375,1.703125
3,Artist_81,0.09375,1.703125
3,Artist_122,0.078125,1.734375
3,Artist_162,0.0625,1.703125
4,Artist_0,0.03125,1.65625
4,Artist_40,0.09375,1.640625
4,Artist_81,0.09375,1.625
4,Artist_122,0.0625,1.6875
4,Artist_162,0.0625,1.75
5,Artist_0,0.046875,1.6875
5,Artist_40,0.09375,1.78125
5,Artist_81,0.09375,1.71875
5,Artist_122,0.09375,1.765625
5,Artist_162,0.078125,1.8125
6,Artist_0,0.03125,1.6875
6,Artist_40,0.09375,1.71875
6,Artist_81,0.109375,1.78125
6,Artist_122,0.078125,1.734375
6,Artist_162,0.078125,1.71875
7,Artist_0,0.03125,1.65625
7,Artist_40,0.09375,1.78125
7,Artist_81,0.109375,1.75
7,Artist_122,0.078125,1.765625
7,Artist_162,0.078125,1.78125
8,Artist_0,0.046875,1.671875
8,Artist_40,0.09375,1.765625
8,Artist_81,0.09375,1.703125
8,Artist_122,0.078125,1.75
8,Artist_162,0.0625,1.734375
9,Artist_0,0.03125,1.640625
9,Artist_40,0.109375,1.78125
9,Artist_81,0.09375,1.765625
9,Artist_122,0.078125,1.765625
9,Artist_162,0.09375,1.734375
10,Artist_0,0.046875,1.671875
10,Artist_40,0.109375,1.734375
10,Artist_81,0.109375,1.703125
10,Artist_122,0.078125,1.75
10,Artist_162,0.078125,1.734375
11,Artist_0,0.046875,1.609375
11,Artist_40,0.109375,1.71875
11,Artist_81,0.09375,1.734375
11,Artist_122,0.078125,1.703125
11,Artist_162,0.078125,1.671875
12,Artist_0,0.03125,1.640625
12,Artist_40,0.078125,1.734375
12,Artist_81,0.109375,1.765625
12,Artist_122,0.078125,1.75
12,Artist_162,0.0625,1.75
13,Artist_0,0.03125,1.671875
13,Artist_40,0.109375,1.765625
13,Artist_81,0.09375,1.796875
13,Artist_122,0.09375,1.765625
13,Artist_162,0.078125,1.796875
14,Artist_0,0.03125,1.6875
14,Artist_40,0.09375,1.78125
14,Artist_81,0.109375,1.796875
14,Artist_122,0.078125,1.8125
14,Artist_162,0.078125,1.796875
15,Artist_0,0.03125,1.6875
15,Artist_40,0.09375,1.78125
15,Artist_81,0.09375,1.75
15,Artist_122,0.0625,1.8125
15,Artist_162,0.078125,1.78125
16,Artist_0,0.03125,1.671875
16,Artist_40,0.109375,1.796875
16,Artist_81,0.109375,1.796875
16,Artist_122,0.078125,1.796875
16,Artist_162,0.078125,1.734375
17,Artist_0,0.03125,1.703125
17,Artist_40,0.09375,1.8125
17,Artist_81,0.09375,1.875
17,Artist_122,0.09375,1.828125
17,Artist_162,0.078125,1.78125
18,Artist_0,0.046875,1.6875
18,Artist_40,0.109375,1.8125
18,Artist_81,0.109375,1.78125
18,Artist_122,0.078125,1.828125
18,Artist_162,0.0625,1.765625
19,Artist_0,0.046875,1.640625
19,Artist_40,0.09375,1.765625
19,Artist_81,0.09375,1.734375
19,Artist_122,0.078125,1.71875
19,Artist_162,0.0625,1.6875
20,Artist_0,0.03125,1.640625
20,Artist_40,0.09375,1.734375
20,Artist_81,0.09375,1.859375
20,Artist_122,0.078125,1.71875
20,Artist_162,0.078125,1.703125
21,Artist_0,0.03125,1.6875
21,Artist_40,0.09375,1.75
21,Artist_81,0.109375,1.78125
21,Artist_122,0.078125,1.75
21,Artist_162,0.078125,1.78125
22,Artist_0,0.03125,1.6875
22,Artist_40,0.109375,1.71875
22,Artist_81,0.109375,1.734375
22,Artist_122,0.078125,1.703125
22,Artist_162,0.078125,1.71875
23,Artist_0,0.03125,1.703125
23,Artist_40,0.09375,1.75
23,Artist_81,0.09375,1.765625
23,Artist_122,0.078125,1.765625
