instancia,insertionSort,selectionSort,mergeSort,quickSort
0,0.003125,0.003125,1.5625E-4,1.25E-4
1,0.0015625,0.0015625,1.25E-4,6.25E-5
2,0.003125,0.0,1.25E-4,6.25E-5
3,0.0015625,0.0015625,9.375E-5,9.375E-5
4,0.0015625,0.0015625,9.375E-5,9.375E-5
5,0.0015625,0.0015625,9.375E-5,9.375E-5
6,0.0015625,0.0,1.25E-4,6.25E-5
7,0.0015625,0.0015625,1.25E-4,6.25E-5
8,0.0015625,0.0015625,9.375E-5,6.25E-5
9,0.0015625,0.0015625,9.375E-5,9.375E-5
10,0.0015625,0.0015625,9.375E-5,9.375E-5
11,0.0015625,0.0,1.25E-4,6.25E-5
12,0.0015625,0.0015625,9.375E-5,6.25E-5
13,0.0015625,0.0,9.375E-5,6.25E-5
14,0.0015625,0.0015625,9.375E-5,9.375E-5
15,0.0015625,0.0015625,9.375E-5,6.25E-5
16,0.0015625,0.0015625,9.375E-5,9.375E-5
17,0.003125,0.003125,1.5625E-4,6.25E-5
18,0.0015625,0.0015625,1.25E-4,9.375E-5
19,0.0015625,0.0015625,1.25E-4,6.25E-5
20,0.0015625,0.003125,9.375E-5,9.375E-5
21,0.0015625,0.0015625,1.25E-4,9.375E-5
22,0.0015625,0.0015625,1.25E-4,6.25E-5
23,0.0015625,0.0015625,1.25E-4,9.375E-5
24,0.0015625,0.0015625,1.25E-4,6.25E-5
25,0.0015625,0.0015625,1.25E-4,9.375E-5
26,0.0015625,0.0015625,1.25E-4,6.25E-5
27,0.0015625,0.0015625,1.25E-4,6.25E-5
28,0.0015625,0.003125,9.375E-5,9.375E-5
29,0.0015625,0.0015625,1.25E-4,9.375E-5
30,0.0,0.0015625,1.25E-4,6.25E-5
31,0.0015625,0.0015625,1.25E-4,6.25E-5
32,0.0015625,0.003125,9.375E-5,9.375E-5
33,0.0015625,0.0015625,1.25E-4,9.375E-5
34,0.0015625,0.0015625,1.25E-4,6.25E-5
35,0.0015625,0.0015625,1.25E-4,9.375E-5
36,0.0015625,0.0015625,9.375E-5,6.25E-5
37,0.0015625,0.0015625,1.25E-4,6.25E-5
38,0.0015625,0.003125,9.375E-5,9.375E-5
39,0.0015625,0.0015625,1.25E-4,6.25E-5
40,0.0015625,0.0015625,1.25E-4,9.375E-5
41,0.0,0.003125,9.375E-5,9.375E-5
42,0.0015625,0.0015625,9.375E-5,9.375E-5
43,0.0015625,0.0015625,1.25E-4,6.25E-5
44,0.0015625,0.0015625,1.25E-4,6.25E-5
45,0.0015625,0.003125,9.375E-5,9.375E-5
46,0.0015625,0.0015625,1.25E-4,6.25E-5
47,0.0015625,0.0015625,1.25E-4,6.25E-5
48,0.0015625,0.003125,9.375E-5,9.375E-5
49,0.0015625,0.0015625,1.25E-4,6.25E-5
50,0.0015625,0.003125,1.25E-4,6.25E-5
51,0.0015625,0.0015625,1.25E-4,6.25E-5
52,0.0015625,0.0015625,1.25E-4,9.375E-5
53,0.0015625,0.0015625,1.25E-4,6.25E-5
54,0.0015625,0.0015625,1.25E-4,6.25E-5
55,0.0015625,0.0015625,1.25E-4,9.375E-5
56,0.0015625,0.0015625,1.25E-4,6.25E-5
57,0.0015625,0.003125,9.375E-5,9.375E-5
58,0.0,0.003125,9.375E-5,9.375E-5
59,0.0015625,0.0015625,1.25E-4,6.25E-5
60,0.0015625,0.0015625,1.25E-4,9.375E-5
61,0.0015625,0.0015625,9.375E-5,6.25E-5
62,0.0015625,0.0015625,1.25E-4,6.25E-5
63,0.0015625,0.003125,9.375E-5,9.375E-5
64,0.0015625,0.0015625,9.375E-5,9.375E-5
65,0.0015625,0.0015625,1.25E-4,6.25E-5
66,0.0015625,0.0015625,1.25E-4,9.375E-5
67,0.0015625,0.0015625,1.25E-4,6.25E-5
68,0.0015625,0.003125,9.375E-5,9.375E-5
69,0.0015625,0.0015625,1.25E-4,6.25E-5
70,0.0015625,0.0015625,1.25E-4,6.25E-5
71,0.0015625,0.0015625,1.25E-4,6.25E-5
72,0.0015625,0.0015625,1.25E-4,9.375E-5
73,0.0015625,0.0015625,1.25E-4,6.25E-5
74,0.0015625,0.0015625,1.25E-4,6.25E-5
75,0.0015625,0.003125,1.25E-4,6.25E-5
76,0.0015625,0.0015625,1.25E-4,9.375E-5
77,0.0015625,0.0015625,1.25E-4,9.375E-5
78,0.0015625,0.0015625,1.25E-4,6.25E-5
79,0.0015625,0.003125,9.375E-5,9.375E-5
80,0.0015625,0.0015625,1.25E-4,6.25E-5
81,0.0015625,0.003125,9.375E-5,9.375E-5
82,0.0015625,0.0015625,1.25E-4,9.375E-5
83,0.0015625,0.0015625,1.25E-4,6.25E-5
84,0.0015625,0.0015625,1.25E-4,6.25E-5
85,0.0015625,0.003125,9.375E-5,9.375E-5
86,0.0015625,0.0015625,9.375E-5,6.25E-5
87,0.0015625,0.0015625,1.25E-4,9.375E-5
88,0.0015625,0.0015625,1.25E-4,6.25E-5
89,0.0015625,0.0015625,1.25E-4,9.375E-5
90,0.0,0.003125,9.375E-5,9.375E-5
91,0.0,0.003125,9.375E-5,9.375E-5
92,0.0015625,0.0015625,1.25E-4,6.25E-5
93,0.0015625,0.0015625,1.25E-4,6.25E-5
94,0.0015625,0.003125,9.375E-5,9.375E-5
95,0.0,0.003125,9.375E-5,9.375E-5
96,0.0015625,0.0015625,9.375E-5,6.25E-5
97,0.0015625,0.0015625,1.25E-4,6.25E-5
98,0.0015625,0.0015625,1.25E-4,9.375E-5
99,0.0,0.003125,9.375E-5,6.25E-5
