instancia,estructura,m,purchase_total,query_total,lend_total,receive_total,dispose_total,query_successful,query_failed,lend_successful,lend_failed,receive_successful,receive_failed,final_size,final_height,elapsed_seconds
0,BST,4096,1456,1255,616,398,371,51,1204,26,590,1,397,1375,22,0.00391595
0,RedBlackBST,4096,1456,1255,616,398,371,51,1204,23,593,2,396,1375,13,0.004961011
1,BST,4096,1413,1208,648,418,409,61,1147,21,627,0,418,1335,23,0.001278356
1,RedBlackBST,4096,1413,1208,648,418,409,61,1147,18,630,0,418,1335,13,0.00152558
2,BST,4096,1430,1250,597,418,401,56,1194,21,576,0,418,1336,21,0.001380824
2,RedBlackBST,4096,1430,1250,597,418,401,56,1194,19,578,0,418,1336,13,0.001158201
3,BST,4096,1447,1226,613,399,411,61,1165,25,588,0,399,1373,22,0.001142952
3,RedBlackBST,4096,1447,1226,613,399,411,61,1165,23,590,0,399,1373,13,0.001433106
4,BST,4096,1413,1235,614,432,402,57,1178,20,594,0,432,1342,20,0.001040901
4,RedBlackBST,4096,1413,1235,614,432,402,57,1178,16,598,0,432,1342,13,0.001387167
5,BST,4096,1444,1242,604,404,402,49,1193,16,588,0,404,1369,21,0.001098219
5,RedBlackBST,4096,1444,1242,604,404,402,49,1193,14,590,0,404,1369,13,0.001153011
6,BST,4096,1455,1225,628,370,418,49,1176,20,608,0,370,1363,25,0.001094271
6,RedBlackBST,4096,1455,1225,628,370,418,49,1176,17,611,0,370,1363,13,0.001478018
7,BST,4096,1395,1234,666,391,410,43,1191,25,641,0,391,1320,22,0.001194444
7,RedBlackBST,4096,1395,1234,666,391,410,43,1191,21,645,0,391,1320,13,5.89174E-4
8,BST,4096,1470,1220,613,418,375,70,1150,25,588,0,418,1385,21,5.06029E-4
8,RedBlackBST,4096,1470,1220,613,418,375,70,1150,23,590,0,418,1385,14,5.42797E-4
9,BST,4096,1427,1253,628,379,409,53,1200,19,609,0,379,1362,21,5.09074E-4
9,RedBlackBST,4096,1427,1253,628,379,409,53,1200,19,609,0,379,1362,13,9.7207E-4
10,BST,4096,1432,1245,635,421,363,59,1186,20,615,0,421,1372,21,6.80145E-4
10,RedBlackBST,4096,1432,1245,635,421,363,59,1186,17,618,0,421,1372,13,8.07263E-4
11,BST,4096,1487,1200,593,401,415,62,1138,21,572,0,401,1409,20,8.12152E-4
11,RedBlackBST,4096,1487,1200,593,401,415,62,1138,17,576,0,401,1409,14,8.70731E-4
12,BST,4096,1473,1221,637,398,367,58,1163,30,607,0,398,1385,22,7.28014E-4
12,RedBlackBST,4096,1473,1221,637,398,367,58,1163,28,609,0,398,1385,12,7.12595E-4
13,BST,4096,1464,1272,586,370,404,40,1232,24,562,0,370,1383,25,5.40864E-4
13,RedBlackBST,4096,1464,1272,586,370,404,40,1232,17,569,0,370,1383,14,7.28786E-4
14,BST,4096,1411,1268,576,397,444,50,1218,16,560,0,397,1328,20,6.65948E-4
14,RedBlackBST,4096,1411,1268,576,397,444,50,1218,15,561,0,397,1328,13,7.6877E-4
15,BST,4096,1387,1306,620,403,380,44,1262,24,596,0,403,1309,22,7.69072E-4
15,RedBlackBST,4096,1387,1306,620,403,380,44,1262,22,598,0,403,1309,13,8.10309E-4
16,BST,4096,1417,1231,601,406,441,40,1191,20,581,0,406,1339,21,5.45513E-4
16,RedBlackBST,4096,1417,1231,601,406,441,40,1191,19,582,0,406,1339,13,5.69557E-4
17,BST,4096,1400,1216,616,450,414,43,1173,29,587,0,450,1323,24,5.31676E-4
17,RedBlackBST,4096,1400,1216,616,450,414,43,1173,25,591,0,450,1323,13,5.83574E-4
18,BST,4096,1439,1236,611,406,404,65,1171,23,588,0,406,1353,19,9.31326E-4
18,RedBlackBST,4096,1439,1236,611,406,404,65,1171,20,591,0,406,1353,12,8.10038E-4
19,BST,4096,1405,1229,622,393,447,59,1170,21,601,0,393,1333,24,7.29526E-4
19,RedBlackBST,4096,1405,1229,622,393,447,59,1170,17,605,0,393,1333,12,5.45092E-4
20,BST,4096,1398,1224,631,428,415,52,1172,25,606,0,428,1317,19,6.52042E-4
20,RedBlackBST,4096,1398,1224,631,428,415,52,1172,23,608,0,428,1317,13,6.37123E-4
21,BST,4096,1409,1261,618,381,427,54,1207,22,596,0,381,1326,24,7.23977E-4
21,RedBlackBST,4096,1409,1261,618,381,427,54,1207,15,603,0,381,1326,13,5.41114E-4
22,BST,4096,1424,1255,607,402,408,55,1200,17,590,0,402,1342,24,6.73231E-4
22,RedBlackBST,4096,1424,1255,607,402,408,55,1200,15,592,0,402,1342,14,7.46218E-4
23,BST,4096,1429,1241,604,374,448,57,1184,27,577,0,374,1363,21,8.16741E-4
23,RedBlackBST,4096,1429,1241,604,374,448,57,1184,27,577,0,374,1363,14,7.51078E-4
24,BST,4096,1433,1224,635,404,400,56,1168,23,612,0,404,1359,24,7.46569E-4
24,RedBlackBST,4096,1433,1224,635,404,400,56,1168,19,616,1,403,1359,14,7.96283E-4
25,BST,4096,1434,1230,598,441,393,60,1170,21,577,0,441,1348,21,7.38624E-4
25,RedBlackBST,4096,1434,1230,598,441,393,60,1170,17,581,0,441,1348,13,7.47091E-4
26,BST,4096,1453,1268,597,384,394,64,1204,27,570,0,384,1390,21,5.39241E-4
26,RedBlackBST,4096,1453,1268,597,384,394,64,1204,24,573,1,383,1390,14,5.42727E-4
27,BST,4096,1423,1253,627,375,418,51,1202,26,601,0,375,1359,22,5.41094E-4
27,RedBlackBST,4096,1423,1253,627,375,418,51,1202,23,604,0,375,1359,13,5.73625E-4
28,BST,4096,1394,1221,639,413,429,50,1171,23,616,0,413,1330,20,7.42411E-4
28,RedBlackBST,4096,1394,1221,639,413,429,50,1171,19,620,0,413,1330,12,7.38464E-4
29,BST,4096,1430,1212,634,404,416,48,1164,27,607,1,403,1344,21,7.90171E-4
29,RedBlackBST,4096,1430,1212,634,404,416,48,1164,23,611,1,403,1344,15,7.47782E-4
