instancia,estructura,m,purchase_total,query_total,lend_total,receive_total,dispose_total,query_successful,query_failed,lend_successful,lend_failed,receive_successful,receive_failed,final_size,final_height,elapsed_seconds
0,BST,16384,5711,4909,2497,1689,1578,221,4688,91,2406,0,1689,5392,26,0.002311091
0,RedBlackBST,16384,5711,4909,2497,1689,1578,221,4688,76,2421,1,1688,5392,16,0.002302305
1,BST,16384,5702,4929,2449,1656,1648,213,4716,105,2344,0,1656,5393,31,0.002353912
1,RedBlackBST,16384,5702,4929,2449,1656,1648,213,4716,79,2370,0,1656,5393,16,0.002254525
2,BST,16384,5753,4810,2540,1600,1681,220,4590,97,2443,1,1599,5440,31,0.002727242
2,RedBlackBST,16384,5753,4810,2540,1600,1681,220,4590,84,2456,1,1599,5440,16,0.0024223
3,BST,16384,5764,4866,2374,1685,1695,201,4665,98,2276,0,1685,5448,29,0.002300071
3,RedBlackBST,16384,5764,4866,2374,1685,1695,201,4665,80,2294,2,1683,5448,16,0.002215713
4,BST,16384,5705,4878,2491,1631,1679,183,4695,93,2398,0,1631,5405,27,0.002260747
4,RedBlackBST,16384,5705,4878,2491,1631,1679,183,4695,83,2408,0,1631,5405,16,0.002241822
5,BST,16384,5609,4965,2484,1653,1673,216,4749,92,2392,0,1653,5334,29,0.002249486
5,RedBlackBST,16384,5609,4965,2484,1653,1673,216,4749,79,2405,0,1653,5334,17,0.002177952
6,BST,16384,5737,4948,2411,1635,1653,216,4732,94,2317,1,1634,5430,28,0.002312104
6,RedBlackBST,16384,5737,4948,2411,1635,1653,216,4732,80,2331,2,1633,5430,16,0.002307164
7,BST,16384,5861,4799,2436,1636,1652,200,4599,78,2358,1,1635,5561,26,0.002747449
7,RedBlackBST,16384,5861,4799,2436,1636,1652,200,4599,64,2372,1,1635,5561,15,0.003070244
8,BST,16384,5793,4846,2431,1638,1676,217,4629,89,2342,1,1637,5503,29,0.003101232
8,RedBlackBST,16384,5793,4846,2431,1638,1676,217,4629,75,2356,1,1637,5503,16,0.002262831
9,BST,16384,5736,4904,2494,1662,1588,221,4683,90,2404,0,1662,5454,27,0.002748011
9,RedBlackBST,16384,5736,4904,2494,1662,1588,221,4683,77,2417,1,1661,5454,16,0.002439342
10,BST,16384,5767,4888,2473,1696,1560,207,4681,98,2375,0,1696,5447,25,0.002377737
