instancia,estructura,m,purchase_total,query_total,lend_total,receive_total,dispose_total,query_successful,query_failed,lend_successful,lend_failed,receive_successful,receive_failed,final_size,final_height,elapsed_seconds
23,RedBlackBST,32768,11585,9752,4951,3245,3235,395,9357,151,4800,2,3243,10957,19,0.005421682
24,BST,32768,11464,9844,4885,3271,3304,421,9423,193,4692,2,3269,10846,32,0.006021433
24,RedBlackBST,32768,11464,9844,4885,3271,3304,421,9423,168,4717,3,3268,10846,17,0.005292289
25,BST,32768,11357,9936,4924,3271,3280,390,9546,210,4714,1,3270,10720,29,0.005530876
25,RedBlackBST,32768,11357,9936,4924,3271,3280,390,9546,176,4748,1,3270,10720,18,0.005301045
26,BST,32768,11458,9828,4933,3318,3231,419,9409,186,4747,1,3317,10851,30,0.005503896
26,RedBlackBST,32768,11458,9828,4933,3318,3231,419,9409,155,4778,1,3317,10851,17,0.005377198
27,BST,32768,11404,10014,4781,3267,3302,410,9604,176,4605,2,3265,10785,27,0.005676131
27,RedBlackBST,32768,11404,10014,4781,3267,3302,410,9604,137,4644,4,3263,10785,18,0.005584708
28,BST,32768,11566,9647,4873,3313,3369,428,9219,180,4693,2,3311,10926,28,0.005827605
28,RedBlackBST,32768,11566,9647,4873,3313,3369,428,9219,148,4725,2,3311,10926,18,0.005580589
29,BST,32768,11400,9827,4978,3159,3404,457,9370,204,4774,2,3157,10759,31,0.006775786
29,RedBlackBST,32768,11400,9827,4978,3159,3404,457,9370,173,4805,3,3156,10759,17,0.005390463
