instancia,estructura,m,purchase_total,query_total,lend_total,receive_total,dispose_total,query_successful,query_failed,lend_successful,lend_failed,receive_successful,receive_failed,final_size,final_height,elapsed_seconds
0,BST,65536,22961,19879,9758,6504,6434,807,19072,368,9390,2,6502,21722,32,0.013554724
0,RedBlackBST,65536,22961,19879,9758,6504,6434,807,19072,312,9446,5,6499,21722,18,0.013934739
1,BST,65536,22978,19799,9685,6583,6491,828,18971,365,9320,2,6581,21728,31,0.013134827
1,RedBlackBST,65536,22978,19799,9685,6583,6491,828,18971,304,9381,6,6577,21728,20,0.012621123
2,BST,65536,22926,19794,9813,6495,6508,807,18987,381,9432,3,6492,21681,33,0.0126886
2,RedBlackBST,65536,22926,19794,9813,6495,6508,807,18987,331,9482,6,6489,21681,19,0.012721271
3,BST,65536,22904,19811,9767,6560,6494,850,18961,343,9424,2,6558,21679,34,0.0133338
3,RedBlackBST,65536,22904,19811,9767,6560,6494,850,18961,295,9472,4,6556,21679,20,0.014423562
4,BST,65536,22757,19674,9961,6657,6487,829,18845,381,9580,0,6657,21499,31,0.013487746
4,RedBlackBST,65536,22757,19674,9961,6657,6487,829,18845,324,9637,5,6652,21499,19,0.012966572
5,BST,65536,22956,19518,9822,6606,6634,888,18630,381,9441,1,6605,21685,34,0.013611961
5,RedBlackBST,65536,22956,19518,9822,6606,6634,888,18630,334,9488,2,6604,21685,19,0.012964708
6,BST,65536,22957,19704,9839,6488,6548,780,18924,380,9459,2,6486,21757,31,0.016325797
6,RedBlackBST,65536,22957,19704,9839,6488,6548,780,18924,314,9525,5,6483,21757,19,0.017822243
7,BST,65536,22970,19577,9863,6631,6495,846,18731,402,9461,1,6630,21730,32,0.013976965
7,RedBlackBST,65536,22970,19577,9863,6631,6495,846,18731,334,9529,6,6625,21730,19,0.01339237
8,BST,65536,22771,19613,9827,6550,6775,866,18747,385,9442,2,6548,21545,37,0.014173353
8,RedBlackBST,65536,22771,19613,9827,6550,6775,866,18747,328,9499,4,6546,21545,19,0.014745345
9,BST,65536,23112,19542,9785,6540,6557,849,18693,343,9442,1,6539,21821,34,0.013633473
9,RedBlackBST,65536,23112,19542,9785,6540,6557,849,18693,284,9501,1,6539,21821,19,0.013022426
10,BST,65536,22774,19832,9804,6656,6470,772,19060,358,9446,1,6655,21570,30,0.012580408
10,RedBlackBST,65536,22774,19832,9804,6656,6470,772,19060,312,9492,3,6653,21570,19,0.012556482
