instancia,estructura,m,purchase_total,query_total,lend_total,receive_total,dispose_total,query_successful,query_failed,lend_successful,lend_failed,receive_successful,receive_failed,final_size,final_height,elapsed_seconds
0,BST,262144,91787,78347,39312,26265,26433,3300,75047,1503,37809,10,26255,86783,38,0.086297911
0,RedBlackBST,262144,91787,78347,39312,26265,26433,3300,75047,1274,38038,18,26247,86783,22,0.074079817
1,BST,262144,92151,78543,39193,25932,26325,3263,75280,1519,37674,7,25925,87138,39,0.093909831
1,RedBlackBST,262144,92151,78543,39193,25932,26325,3263,75280,1292,37901,17,25915,87138,22,0.077940714
2,BST,262144,91583,79031,39521,26051,25958,3423,75608,1546,37975,7,26044,86681,40,0.082635964
2,RedBlackBST,262144,91583,79031,39521,26051,25958,3423,75608,1282,38239,13,26038,86681,22,0.078079111
3,BST,262144,91930,78687,39141,26355,26031,3332,75355,1555,37586,9,26346,86934,39,0.075707879
3,RedBlackBST,262144,91930,78687,39141,26355,26031,3332,75355,1298,37843,22,26333,86934,22,0.078343691
4,BST,262144,91806,78579,38859,26413,26487,3305,75274,1483,37376,10,26403,86826,46,0.090555829
4,RedBlackBST,262144,91806,78579,38859,26413,26487,3305,75274,1252,37607,23,26390,86826,22,0.079287393
5,BST,262144,91650,78879,39253,26352,26010,3340,75539,1531,37722,11,26341,86820,39,0.092997704
5,RedBlackBST,262144,91650,78879,39253,26352,26010,3340,75539,1301,37952,21,26331,86820,22,0.08816231
6,BST,262144,92014,78355,39359,26410,26006,3322,75033,1540,37819,3,26407,87027,38,0.086871842
6,RedBlackBST,262144,92014,78355,39359,26410,26006,3322,75033,1296,38063,12,26398,87027,23,0.07890844
7,BST,262144,91403,78729,39261,26286,26465,3310,75419,1494,37767,3,26283,86407,40,0.079800057
7,RedBlackBST,262144,91403,78729,39261,26286,26465,3310,75419,1256,38005,16,26270,86407,22,0.071988557
8,BST,262144,91621,78388,39419,26390,26326,3282,75106,1495,37924,6,26384,86642,37,0.077797923
8,RedBlackBST,262144,91621,78388,39419,26390,26326,3282,75106,1265,38154,16,26374,86642,21,0.067786077
9,BST,262144,91740,78509,39237,26292,26366,3338,75171,1522,37715,6,26286,86703,40,0.079370883
9,RedBlackBST,262144,91740,78509,39237,26292,26366,3338,75171,1285,37952,15,26277,86703,22,0.079770824
10,BST,262144,91715,78891,39331,26127,26080,3328,75563,1535,37796,2,26125,86874,38,0.084054962
10,RedBlackBST,262144,91715,78891,39331,26127,26080,3328,75563,1282,38049,19,26108,86874,22,0.070642179
11,BST,262144,91865,78376,39277,26371,26255,3255,75121,1512,37765,4,26367,86838,38,0.086132333
11,RedBlackBST,262144,91865,78376,39277,26371,26255,3255,75121,1259,38018,9,26362,86838,22,0.082642916
12,BST,262144,91680,78726,39464,26144,26130,3332,75394,1542,37922,9,26135,86836,41,0.083537892
12,RedBlackBST,262144,91680,78726,39464,26144,26130,3332,75394,1277,38187,25,26119,86836,21,0.074939537
13,BST,262144,91754,78638,39325,26316,26111,3179,75459,1486,37839,6,26310,86737,41,0.07616772
13,RedBlackBST,262144,91754,78638,39325,26316,26111,3179,75459,1276,38049,16,26300,86737,22,0.074760283
14,BST,262144,92058,78427,39367,26002,26290,3306,75121,1474,37893,8,25994,87054,37,0.081742314
14,RedBlackBST,262144,92058,78427,39367,26002,26290,3306,75121,1257,38110,19,25983,87054,22,0.091893482
15,BST,262144,91974,78345,39390,26130,26305,3278,75067,1526,37864,3,26127,86856,37,0.071484865
15,RedBlackBST,262144,91974,78345,39390,26130,26305,3278,75067,1298,38092,12,26118,86856,22,0.075699314
16,BST,262144,91605,78639,39386,26278,26236,3333,75306,1468,37918,5,26273,86656,37,0.078291771
16,RedBlackBST,262144,91605,78639,39386,26278,26236,3333,75306,1276,38110,18,26260,86656,21,0.072454399
17,BST,262144,92010,78855,39155,26004,26120,3360,75495,1475,37680,7,25997,86991,39,0.079192409
17,RedBlackBST,262144,92010,78855,39155,26004,26120,3360,75495,1233,37922,19,25985,86991,22,0.074299343
18,BST,262144,91712,78575,39291,26470,26096,3341,75234,1451,37840,9,26461,86676,39,0.085209239
18,RedBlackBST,262144,91712,78575,39291,26470,26096,3341,75234,1211,38080,21,26449,86676,22,0.072632101
19,BST,262144,91957,78632,39375,26122,26058,3342,75290,1513,37862,10,26112,86942,37,0.084034443
19,RedBlackBST,262144,91957,78632,39375,26122,26058,3342,75290,1274,38101,23,26099,86942,22,0.074983149
20,BST,262144,91754,78434,39420,26489,26047,3312,75122,1529,37891,5,26484,86826,42,0.084297146
20,RedBlackBST,262144,91754,78434,39420,26489,26047,3312,75122,1282,38138,21,26468,86826,22,0.076438328
21,BST,262144,91670,78488,39232,26308,26446,3266,75222,1533,37699,9,26299,86785,38,0.075294657
21,RedBlackBST,262144,91670,78488,39232,26308,26446,3266,75222,1284,37948,18,26290,86785,22,0.066014201
